"","batter_id","year","pitches","stuff_rv_70","pitch_rv_150","woba_fg"
"383",602074,2021,1194,0.069,0.723,0.29706156918239
"384",602080,2021,34,0.436,1.252,0.272203
"385",602104,2021,1173,0.062,0.175,0.332096492907801
"386",602922,2021,374,0.075,-0.078,0.31982102247191
"387",605113,2021,1714,-0.08,0.32,0.266391004424779
"388",605119,2021,976,-0.054,0.3,0.325338450199203
"389",605131,2021,869,0.132,0.454,0.287149562790698
"390",605135,2021,9,0.98,1.132,0
"391",605137,2021,2117,0.077,0.886,0.358761492673993
"392",605141,2021,2189,0.075,0.526,0.362936055865922
"393",605151,2021,4,NA,NA,0
"394",605154,2021,5,1.481,2.188,0
"395",605164,2021,23,0.318,0.852,0.21976375
"396",605170,2021,1288,0.104,0.367,0.272438816860465
"397",605200,2021,144,0.264,0.014,0.159828181818182
"398",605204,2021,855,-0.028,0.093,0.357543403940887
"399",605233,2021,25,0.368,0.189,0.305879375
"400",605244,2021,335,0.117,0.4,0.246433989010989
"401",605276,2021,14,0.686,1.927,0
"402",605280,2021,6,0.677,-0.378,0
"403",605288,2021,171,0.296,0.21,0.136190536585366
"404",605346,2021,45,-0.102,0.547,0.244232076923077
"405",605347,2021,7,0.669,2.884,0
"406",605353,2021,117,0.026,-0.57,0.164452088235294
"407",605361,2021,191,0.301,0.798,0.286630227272727
"408",605397,2021,179,0.254,0.623,0.154495755102041
"409",605400,2021,236,0.312,0.352,0.208092018867925
"410",605412,2021,879,0.007,0.33,0.22894025
"411",605421,2021,920,0.242,0.61,0.225085420353982
"412",605452,2021,139,0.438,1.217,0.26394028125
"413",605483,2021,112,0.397,-0.614,0.106552121212121
"414",605504,2021,45,-0.357,-0.619,0.0976727777777778
"415",605507,2021,60,0.009,0.132,0.151478928571429
"416",605538,2021,4,1.488,3.897,0
"417",605540,2021,219,0.324,0.287,0.1361015
"418",605548,2021,1331,0.157,0.637,0.306970845697329
"419",605612,2021,1155,0.167,0.945,0.289905484848485
"420",606115,2021,341,0.06,0.627,0.24779191954023
"421",606132,2021,1922,0.21,0.925,0.308260924564797
"422",606157,2021,833,0.123,0.657,0.302786222772277
"423",606192,2021,1839,-0.036,0.41,0.383244932914046
"424",606213,2021,1070,0.087,0.588,0.312154882352941
"425",606299,2021,505,0.029,0.586,0.28043375974026
"426",606336,2021,27,0.104,1.646,0.224396
"427",606424,2021,5,-0.195,2.902,0
"428",606466,2021,1385,0.023,0.284,0.386538188010899
"429",606988,2021,340,0.195,0.319,0.2968404125
"430",606992,2021,1535,0.008,0.504,0.318720253968254
"431",606993,2021,133,-0.154,1.541,0.180134433333333
"432",607043,2021,1516,0.109,0.172,0.364976095490716
"433",607054,2021,1257,0.185,0.717,0.313374908163265
"434",607067,2021,8,-0.528,-1.68,0
"435",607074,2021,11,-0.133,-2.801,0
"436",607111,2021,85,0.128,0.931,0.208590571428571
"437",607188,2021,14,1.141,0.849,0.413883333333333
"438",607192,2021,10,0.126,-2.304,0
"439",607200,2021,148,0.661,0.687,0.0197633428571429
"440",607208,2021,2410,-0.018,0.468,0.382931599041534
"441",607219,2021,7,0.413,-0.736,0
"442",607229,2021,26,0.712,-0.349,0.115286166666667
"443",607231,2021,42,0.125,-0.273,0
"444",607345,2021,398,0.029,0.276,0.194337779411765
"445",607374,2021,3,0.445,1.642,0
"446",607430,2021,28,0.354,0.297,0.276195285714286
"447",607455,2021,3,-0.162,1.584,0
"448",607461,2021,871,0.144,0.839,0.335497307359307
"449",607468,2021,349,0.078,-0.168,0.273810049382716
"450",607536,2021,116,0.472,0.623,0.200581685714286
"451",607560,2021,4,1.306,-1.566,0
"452",607625,2021,2,-1.304,-6.391,0
"453",607644,2021,12,-0.396,-2.747,0.24833
"454",607680,2021,1307,0.04,0.804,0.300395632653061
"455",607732,2021,1653,0.061,0.548,0.317697565947242
"456",608070,2021,2584,0.153,0.741,0.368313749585406
"457",608324,2021,1573,0.072,0.369,0.339849803069054
"458",608328,2021,36,0.331,-1.387,0.103470833333333
"459",608331,2021,241,0.32,0.737,0.288821661016949
"460",608334,2021,2,-0.131,0.727,0
"461",608336,2021,2500,0.075,0.689,0.353514266891892
"462",608337,2021,14,-0.159,-0.181,0.293018333333333
"463",608344,2021,25,0.722,0.042,0.175811
"464",608348,2021,1394,-0.118,0.36,0.333030639880952
"465",608349,2021,5,0.755,-1.173,0
"466",608369,2021,1364,0.028,0.417,0.393544625316456
"467",608371,2021,11,0.184,-1.767,0
"468",608379,2021,13,0.109,-1.139,0
"469",608384,2021,46,0.339,1.397,0.164275461538462
"470",608385,2021,1849,0.203,0.868,0.406423911764706
"471",608422,2021,167,0.348,1.156,0.1928019
"472",608566,2021,150,0.272,0.15,0.293215576923077
"473",608577,2021,770,0.194,0.87,0.265088333333333
"474",608596,2021,1254,0.105,0.736,0.294552346905537
"475",608597,2021,69,0.233,0.828,0.158719823529412
"476",608671,2021,560,0.213,0.29,0.319796626712329
"477",608686,2021,1081,-0.044,0.442,0.287347669039146
"478",608700,2021,594,0.079,0.199,0.320017521212121
"479",608701,2021,662,0.001,-0.071,0.289479883870968
"480",608717,2021,9,-0.296,-0.107,0
"481",608718,2021,14,0.283,1.121,0
"482",608723,2021,13,0.07,5.683,0.533662333333333
"483",609275,2021,536,0.14,0.815,0.308479575757576
"484",609280,2021,586,-0.049,0.444,0.289886633986928
"485",613564,2021,315,0.341,0.799,0.256375556962025
"486",614173,2021,467,0.227,0.096,0.235300201680672
"487",614177,2021,1909,-0.011,0.373,0.356967644295302
