"MLBAMID","Name"
543333,"Eric Hosmer"
448602,"Mark Reynolds"
607680,"Kevin Pillar"
666969,"Adolis García"
448801,"Chris Davis"
503556,"Marwin Gonzalez"
520471,"Freddy Galvis"
596059,"Rougned Odor"
643376,"Danny Jansen"
663993,"Nathaniel Lowe"
657557,"Paul DeJong"
547379,"Roberto Pérez"
430895,"Maicer Izturis"
547982,"Leonys Martin"
571745,"Mitch Haniger"
571771,"Enrique Hernández"
111214,"Bret Boone"
600869,"Jeimer Candelario"
435041,"Carlos Quentin"
595777,"Jurickson Profar"
117276,"Mark Kotsay"
150071,"Ronnie Belliard"
134001,"Paul Lo Duca"
407489,"Lyle Overbay"
110383,"Rich Aurilia"
681082,"Bryson Stott"
446359,"Zack Cozart"
434661,"Nate McLouth"
672275,"Patrick Bailey"
150353,"Dave Roberts"
572191,"Michael A. Taylor"
592696,"Eddie Rosario"
669016,"Brandon Marsh"
682985,"Riley Greene"
117148,"Ryan Klesko"
680977,"Brendan Donovan"
647304,"Josh Naylor"
519083,"Derek Norris"
493114,"Norichika Aoki"
110236,"Garret Anderson"
571697,"Scooter Gennett"
445055,"Jon Jay"
493329,"Yuli Gurriel"
467827,"Gerardo Parra"
113889,"Darin Erstad"
605137,"Josh Bell"
543068,"C.J. Cron"
452252,"Adam Lind"
276361,"Adam Everett"
594828,"Evan Gattis"
134341,"Jay Payton"
150268,"Pedro Feliz"
543434,"Brett Lawrie"
450260,"Kevin Kouzmanoff"
123041,"Mike Sweeney"
112903,"José Cruz Jr."
136660,"Mark DeRosa"
115094,"Shawn Green"
325392,"Scott Podsednik"
117759,"Mike Lieberthal"
677551,"Wander Franco"
123723,"Jose Vidro"
622534,"Manuel Margot"
461815,"David Murphy"
453923,"Grégor Blanco"
642708,"Amed Rosario"
592669,"Hunter Renfroe"
407862,"Reed Johnson"
664761,"Alec Bohm"
120922,"Joe Randa"
150472,"Ryan Freel"
408213,"Hank Blalock"
150479,"Felipe Lopez"
346859,"Jason Michaels"
672580,"Maikel Garcia"
122544,"Sammy Sosa"
621563,"Joey Wendle"
595978,"Austin Hedges"
667670,"Brent Rooker"
622110,"Matt Duffy"
605119,"Brian Anderson"
663457,"Lars Nootbaar"
150411,"Brian Schneider"
545350,"Jake Marisnick"
455104,"Chris Iannetta"
407849,"Bill Hall"
461235,"Brandon Moss"
434778,"Kendrys Morales"
150275,"Yorvit Torrealba"
542340,"Jonathan Villar"
407891,"Kevin Mench"
608385,"Jesse Winker"
453895,"Brendan Ryan"
455755,"Chris Stewart"
456121,"Chris Denorfia"
110816,"David Bell"
488721,"Peter Bourjos"
608348,"Carson Kelly"
150218,"Jacque Jones"
543257,"Robbie Grossman"
457477,"Alejandro De Aza"
122784,"Shannon Stewart"
435220,"Ryan Sweeney"
605412,"Joe Panik"
669720,"Austin Hays"
136664,"Michael Barrett"
623993,"Anthony Santander"
701538,"Jackson Merrill"
114135,"Steve Finley"
425508,"Ryan Church"
680777,"Ryan Jeffers"
672515,"Gabriel Moreno"
430965,"Chris Snyder"
134260,"Bengie Molina"
502226,"Craig Gentry"
543768,"Travis Shaw"
624585,"Jorge Soler"
670770,"TJ Friedl"
593934,"Miguel Sanó"
605131,"Austin Barnes"
541645,"Avisaíl García"
664034,"Ty France"
120536,"Mike Piazza"
657077,"Alex Verdugo"
425867,"Khalil Greene"
670032,"Nicky Lopez"
430948,"Alberto Callaspo"
664238,"Dylan Moore"
571875,"Jake Lamb"
502082,"Lonnie Chisenhall"
408306,"Rocco Baldelli"
457787,"Danny Espinosa"
110987,"Craig Biggio"
570482,"Gio Urshela"
650489,"Willi Castro"
663697,"Jonathan India"
425784,"René Rivera"
641598,"Mitch Garver"
624641,"Edmundo Sosa"
649557,"Aledmys Díaz"
687263,"Zach Neto"
425549,"Clint Barmes"
691718,"Pete Crow-Armstrong"
137006,"Doug Mientkiewicz"
519184,"Ben Revere"
456781,"Donovan Solano"
110840,"Mark Bellhorn"
119976,"John Olerud"
435558,"Daric Barton"
642731,"Thairo Estrada"
523253,"Logan Forsythe"
115902,"Richard Hidalgo"
624431,"Jose Trevino"
476883,"Pedro Álvarez"
444135,"Ryan Theriot"
150217,"Cristian Guzman"
472528,"Luis Valbuena"
664702,"Myles Straw"
572039,"Stephen Piscotty"
115017,"Tony Graffanino"
645302,"Victor Robles"
115229,"Jose Guillen"
501571,"Juan Lagares"
150178,"Jason LaRue"
459431,"Michael Saunders"
676801,"Chas McCormick"
430404,"Jonny Gomes"
456665,"Steve Pearce"
444489,"Manny Piña"
664058,"David Fletcher"
543543,"Brad Miller"
400091,"Jack Cust"
123842,"Todd Walker"
446481,"Sean Rodríguez"
663886,"Tyler Stephenson"
112131,"Frank Catalanotto"
643396,"Isiah Kiner-Falefa"
519048,"Mitch Moreland"
120191,"Rafael Palmeiro"
237800,"Jeff DaVanon"
694671,"Wyatt Langford"
425766,"James Loney"
435559,"Kurt Suzuki"
460060,"Cliff Pennington"
641820,"Trey Mancini"
150160,"Junior Spivey"
665833,"Oneil Cruz"
682928,"CJ Abrams"
609275,"Adalberto Mondesi"
673237,"Yainer Diaz"
115608,"Scott Hatteberg"
694192,"Jackson Chourio"
444432,"Mark Trumbo"
641680,"Jonah Heim"
669224,"Austin Wells"
545358,"Max Stassi"
605204,"J.D. Davis"
119064,"Damian Miller"
668930,"Brice Turang"
502143,"Danny Valencia"
543309,"Kyle Higashioka"
474233,"Hank Conger"
676694,"Jake Meyers"
554429,"Dustin Ackley"
682626,"Francisco Alvarez"
553882,"Omar Narváez"
605170,"Victor Caratini"
